iter	Passed	Remaining
399	53928	107856
400	54065	107726
401	54189	107570
402	54327	107440
403	54457	107297
404	54587	107154
405	54703	106982
406	54833	106836
407	54952	106671
408	55081	106527
409	55216	106393
410	55338	106234
411	55453	106061
412	55591	105933
413	55713	105775
414	55840	105626
415	55955	105454
416	56089	105318
417	56224	105185
418	56355	105043
419	56483	104898
420	56624	104775
421	56747	104619
422	56874	104471
423	56993	104308
424	57112	104146
425	57230	103982
426	57364	103848
427	57492	103702
428	57614	103544
429	57755	103422
430	57884	103279
431	58026	103158
432	58154	103012
433	58288	102877
434	58420	102739
435	58544	102586
436	58665	102429
437	58792	102282
438	58920	102137
439	59050	101996
440	59168	101834
441	59312	101716
442	59446	101581
443	59568	101428
444	59688	101269
445	59810	101115
446	60041	101144
447	60176	101010
448	60318	100888
449	60469	100782
450	60642	100712
451	60822	100653
452	60984	100563
453	61129	100445
454	61259	100304
455	61400	100180
456	61539	100051
457	61678	99924
458	61816	99795
459	61984	99714
460	62130	99597
461	62254	99446
462	62381	99297
463	62504	99144
464	62644	99018
465	62778	98883
466	62925	98767
467	63069	98647
468	63203	98510
469	63316	98342
470	63448	98203
471	63566	98043
472	63686	97886
473	63805	97726
474	63928	97574
475	64049	97419
476	64176	97273
477	64290	97108
478	64390	96921
479	64506	96760
480	64634	96616
481	64765	96476
482	64873	96302
483	64989	96141
484	65112	95989
485	65214	95809
486	65346	95670
487	65461	95509
488	65580	95352
489	65693	95188
490	65815	95037
491	65939	94888
492	66057	94731
493	66160	94553
494	66323	94460
495	66476	94353
496	66645	94268
497	66777	94131
498	66928	94021
499	67086	93921
500	67276	93864
501	67501	93856
502	67696	93806
503	67904	93772
504	68320	94025
505	68478	93920
506	68617	93790
507	68761	93666
508	68930	93577
509	69088	93473
510	69243	93363
511	69393	93247
512	69589	93192
513	69785	93137
514	69989	93093
515	70141	92978
516	70303	92876
517	70454	92760
518	70591	92625
519	70731	92495
520	70935	92447
521	71107	92357
522	71252	92232
523	71408	92122
524	71569	92018
525	71956	92202
526	72472	92549
527	72712	92542
528	72852	92407
529	72998	92281
530	73144	92153
531	73280	92013
532	73408	91863
533	73543	91722
534	73667	91567
535	73798	91421
536	73933	91281
537	74065	91136
538	74189	90982
539	74308	90821
540	74423	90656
541	74554	90510
542	74679	90358
543	74820	90225
544	74942	90068
545	75104	89959
546	75232	89811
547	75362	89664
548	75484	89509
549	75607	89354
550	75731	89200
551	75864	89058
552	76002	88921
553	76151	88797
554	76296	88668
555	76448	88548
556	76581	88405
557	76744	88297
558	76900	88181
559	77141	88161
560	77268	88011
561	77380	87844
562	77521	87711
563	77687	87605
564	77821	87463
565	77947	87312
566	78109	87201
567	78242	87058
568	78385	86926
569	78516	86781
570	78655	86645
571	78794	86508
572	78912	86349
573	79041	86202
574	79164	86048
575	79281	85887
576	79406	85737
577	79549	85605
578	79663	85441
579	79808	85312
580	79924	85151
581	80040	84991
582	80183	84859
583	80320	84722
584	80440	84565
585	80584	84435
586	80905	84488
587	81317	84636
588	81544	84590
589	81678	84447
590	81811	84303
591	81931	84145
592	82453	84400
593	82637	84306
594	82854	84247
595	82976	84089
596	83102	83937
597	83233	83789
598	83361	83639
599	83483	83483
600	83596	83318
601	83719	83163
602	83854	83020
603	83992	82879
604	84121	82730
605	84235	82567
606	84373	82427
607	84505	82281
608	84642	82141
609	84767	81988
610	84871	81815
611	84986	81653
612	85111	81501
613	85242	81355
614	85365	81201
615	85485	81044
616	85627	80908
617	85762	80766
618	85892	80619
619	86007	80458
620	86121	80296
621	86236	80136
622	86359	79983
623	86484	79831
624	86620	79691
625	86754	79548
626	86893	79409
627	87020	79260
628	87150	79114
629	87273	78961
630	87406	78818
631	87525	78662
632	87654	78515
633	87782	78367
634	87896	78206
635	88016	78052
636	88128	77890
637	88259	77746
638	88386	77597
639	88509	77445
640	88632	77293
641	88763	77149
642	88889	77000
643	89010	76847
644	89125	76689
645	89253	76542
646	89376	76391
647	89504	76244
648	89630	76096
649	89771	75960
650	89909	75822
651	90041	75678
652	90177	75538
653	90297	75385
654	90434	75247
655	90573	75109
656	90713	74972
657	90846	74830
658	90968	74679
659	91086	74525
660	91206	74372
661	91327	74221
662	91457	74076
663	91583	73928
664	91716	73786
665	91932	73711
666	92061	73566
667	92196	73425
668	92316	73273
669	92445	73128
670	92590	72996
671	92730	72859
672	92844	72702
673	92970	72555
674	93091	72404
675	93212	72253
676	93333	72102
677	93466	71961
678	93581	71805
679	93699	71652
680	93832	71511
681	93955	71362
682	94071	71208
683	94203	71065
684	94333	70922
685	94465	70779
686	94590	70633
687	94714	70485
688	94850	70346
689	94972	70197
690	95098	70051
691	95220	69901
692	95345	69754
693	95489	69621
694	95608	69471
695	95745	69333
696	95879	69192
697	96019	69056
698	96135	68904
699	96259	68756
700	96374	68603
701	96497	68455
702	96612	68302
703	96727	68148
704	96854	68004
705	96964	67847
706	97095	67705
707	97230	67567
708	97358	67423
709	97504	67291
710	97616	67137
711	97743	66992
712	97868	66847
713	98005	66709
714	98136	66568
715	98263	66423
716	98404	66289
717	98535	66147
718	98662	66003
719	98784	65856
720	98917	65716
721	99039	65568
722	99170	65427
723	99301	65286
724	99437	65148
725	99564	65005
726	99688	64859
727	99824	64721
728	99941	64571
729	100063	64424
730	100190	64280
731	100321	64140
732	100455	64001
733	100595	63866
734	100728	63726
735	100849	63579
736	100983	63440
737	101134	63312
738	101251	63162
739	101381	63021
740	101505	62876
741	101632	62732
742	101757	62588
743	101878	62441
744	102012	62303
745	102146	62164
746	102278	62024
747	102410	61884
748	102530	61737
749	102659	61595
750	102783	61451
751	102899	61301
752	103029	61160
753	103154	61017
754	103273	60870
755	103407	60731
756	103534	60589
757	103676	60454
758	103797	60309
759	103932	60171
760	104068	60034
761	104193	59890
762	104306	59740
763	104437	59600
764	104560	59455
765	104701	59321
766	104891	59215
767	105021	59074
768	105152	58934
769	105299	58803
770	105444	58671
771	105592	58541
772	105737	58408
773	105870	58269
774	106002	58130
775	106142	57995
776	106272	57854
777	106396	57711
778	106511	57562
779	106636	57419
780	106786	57290
781	106902	57142
782	107038	57005
783	107155	56857
784	107278	56714
785	107390	56564
786	107507	56417
787	107636	56277
788	107759	56133
789	107899	55998
790	108030	55859
791	108143	55710
792	108276	55572
793	108402	55430
794	108524	55285
795	108654	55146
796	108778	55003
797	108896	54857
798	109021	54715
799	109144	54572
800	109264	54427
801	109382	54282
802	109518	54145
803	109637	54000
804	109776	53865
805	109916	53730
806	110044	53590
807	110168	53448
808	110297	53308
809	110428	53169
810	110562	53031
811	110693	52893
812	110818	52751
813	110948	52612
814	111086	52476
815	111218	52338
816	111341	52195
817	111472	52056
818	111611	51921
819	111744	51784
820	111865	51640
821	111988	51498
822	112108	51354
823	112233	51213
824	112356	51071
825	112497	50937
826	112631	50799
827	112760	50660
828	112883	50518
829	112999	50373
830	113129	50234
831	113246	50089
832	113367	49946
833	113488	49804
834	113632	49671
835	113766	49534
836	113893	49394
837	114028	49258
838	114150	49116
839	114266	48971
840	114390	48829
841	114506	48685
842	114633	48545
843	114769	48409
844	114886	48266
845	115001	48121
846	115135	47984
847	115261	47844
848	115385	47703
849	115519	47566
850	115644	47426
851	115771	47287
852	115899	47147
853	116017	47004
854	116153	46869
855	116291	46734
856	116417	46594
857	116547	46455
858	116675	46317
859	116807	46179
860	116933	46039
861	117058	45899
862	117185	45760
863	117308	45619
864	117420	45474
865	117540	45333
866	117657	45190
867	117777	45048
868	117905	44909
869	118098	44795
870	118234	44660
871	118358	44520
872	118480	44379
873	118602	44238
874	118727	44098
875	118847	43957
876	118971	43817
877	119102	43680
878	119218	43537
879	119336	43395
880	119445	43249
881	119572	43111
882	119696	42971
883	119826	42834
884	119955	42695
885	120093	42561
886	120223	42423
887	120350	42285
888	120480	42147
889	120618	42013
890	120755	41878
891	120879	41738
892	121011	41602
893	121150	41467
894	121280	41330
895	121394	41187
896	121516	41047
897	121643	40908
898	121765	40769
899	121872	40624
900	122003	40487
901	122126	40347
902	122248	40208
903	122369	40067
904	122499	39930
905	122611	39787
906	122734	39648
907	122846	39505
908	122972	39367
909	123095	39228
910	123229	39092
911	123370	38959
912	123505	38823
913	123616	38680
914	123746	38544
915	123882	38408
916	123998	38267
917	124122	38129
918	124244	37989
919	124367	37850
920	124499	37714
921	124624	37576
922	124753	37439
923	124869	37298
924	125004	37163
925	125135	37027
926	125252	36886
927	125382	36750
928	125503	36610
929	125644	36477
930	125774	36340
931	125903	36204
932	126019	36063
933	126142	35924
934	126268	35787
935	126391	35649
936	126514	35510
937	126649	35375
938	126802	35245
939	126932	35108
940	127072	34975
941	127205	34839
942	127337	34703
943	127553	34590
944	127739	34469
945	127895	34339
946	128045	34208
947	128210	34081
948	128357	33949
949	128509	33818
950	128656	33686
951	128809	33555
952	128962	33424
953	129097	33289
954	129225	33152
955	129354	33015
956	129490	32880
957	129611	32741
958	129742	32604
959	129863	32465
960	129987	32327
961	130128	32193
962	130255	32056
963	130391	31921
964	130514	31783
965	130646	31647
966	130771	31509
967	130911	31375
968	131032	31236
969	131162	31100
970	131308	30967
971	131532	30853
972	131671	30718
973	131808	30583
974	131966	30453
975	132127	30324
976	132290	30195
977	132426	30059
978	132617	29937
979	132767	29804
980	132934	29676
981	133089	29545
982	133237	29412
983	133402	29283
984	133547	29149
985	133695	29017
986	133833	28881
987	133969	28746
988	134115	28613
989	134254	28478
990	134401	28345
991	134545	28211
992	134690	28077
993	134846	27946
994	135003	27814
995	135139	27679
996	135276	27543
997	135398	27405
998	135522	27267
999	135650	27130
1000	135781	26993
1001	135905	26855
1002	136016	26715
1003	136144	26578
1004	136269	26440
1005	136387	26301
1006	136527	26166
1007	136663	26031
1008	136783	25892
1009	136903	25754
1010	137059	25622
1011	137198	25487
1012	137336	25352
1013	137474	25217
1014	137593	25078
1015	137734	24944
1016	137879	24810
1017	138014	24674
1018	138137	24536
1019	138261	24399
1020	138382	24260
1021	138502	24122
1022	138634	23986
1023	138779	23852
1024	138903	23715
1025	139020	23576
1026	139143	23438
1027	139273	23302
1028	139394	23164
1029	139525	23028
1030	139669	22894
1031	139799	22758
1032	139932	22622
1033	140074	22487
1034	140240	22357
1035	140371	22220
1036	140492	22083
1037	140620	21946
1038	140750	21810
1039	140867	21671
1040	140993	21535
1041	141119	21398
1042	141254	21262
1043	141379	21125
1044	141497	20987
1045	141623	20850
1046	141760	20715
1047	141916	20583
1048	142094	20454
1049	142234	20319
1050	142359	20182
1051	142540	20053
1052	142695	19920
1053	142868	19790
1054	143000	19654
1055	143146	19520
1056	143278	19383
1057	143413	19248
1058	143578	19116
1059	143763	18987
1060	143915	18854
1061	144127	18728
1062	144263	18592
1063	144387	18455
1064	144535	18321
1065	144660	18184
1066	144778	18046
1067	144904	17909
1068	145042	17774
1069	145180	17638
1070	145316	17503
1071	145445	17366
1072	145574	17230
1073	145705	17093
1074	145835	16957
1075	145967	16821
1076	146092	16684
1077	146207	16546
1078	146331	16409
1079	146491	16276
1080	146621	16140
1081	146756	16004
1082	146899	15869
1083	147023	15733
1084	147163	15597
1085	147289	15461
1086	147423	15325
1087	147557	15189
1088	147700	15054
1089	147835	14919
1090	147958	14782
1091	148091	14646
1092	148207	14508
1093	148329	14371
1094	148451	14235
1095	148585	14099
1096	148711	13962
1097	148833	13826
1098	148972	13690
1099	149114	13555
1100	149250	13420
1101	149382	13284
1102	149508	13148
1103	149645	13012
1104	149779	12876
1105	149907	12740
1106	150039	12604
1107	150173	12469
1108	150298	12332
1109	150432	12197
1110	150555	12060
1111	150698	11925
1112	150831	11790
1113	150961	11654
1114	151087	11517
1115	151215	11381
1116	151346	11245
1117	151478	11110
1118	151595	10973
1119	151733	10838
1120	151858	10701
1121	152016	10567
1122	152129	10430
1123	152267	10295
1124	152391	10159
1125	152524	10023
1126	152645	9887
1127	152764	9750
1128	152898	9615
1129	153033	9479
1130	153160	9343
1131	153300	9208
1132	153444	9073
1133	153564	8937
1134	153709	8802
1135	153843	8667
1136	153972	8531
1137	154100	8395
1138	154223	8259
1139	154349	8123
1140	154480	7988
1141	154598	7851
1142	154732	7716
1143	154859	7580
1144	154999	7445
1145	155131	7309
1146	155264	7174
1147	155389	7038
1148	155526	6903
1149	155665	6768
1150	155799	6632
1151	155922	6496
1152	156075	6362
1153	156212	6226
1154	156338	6091
1155	156467	5955
1156	156592	5819
1157	156725	5684
1158	156847	5548
1159	156970	5412
1160	157099	5277
1161	157223	5141
1162	157345	5005
1163	157460	4869
1164	157662	4736
1165	157792	4601
1166	157924	4465
1167	158048	4330
1168	158173	4194
1169	158291	4058
1170	158407	3922
1171	158536	3787
1172	158664	3652
1173	158791	3516
1174	158916	3381
1175	159037	3245
1176	159157	3110
1177	159275	2974
1178	159382	2838
1179	159498	2703
1180	159610	2567
1181	159732	2432
1182	159867	2297
1183	159990	2162
1184	160116	2026
1185	160248	1891
1186	160366	1756
1187	160491	1621
1188	160613	1485
1189	160728	1350
1190	160850	1215
1191	160977	1080
1192	161095	945
1193	161222	810
1194	161362	675
1195	161503	540
1196	161625	405
1197	161746	270
1198	161877	135
1199	161999	0
